time,probe_a,probe_b
1.1600037e+00,-9.8820001e-02, 3.2940000e-01
1.1640015e+00,-1.6713999e-01, 1.3298000e-01
1.1679993e+00,-3.9161998e-01, 1.0980000e-02
1.1719971e+00,-5.0019997e-01,-7.8079998e-02
1.1760025e+00,-4.7213998e-01,-3.6355999e-01
1.1800003e+00,-5.7462001e-01,-4.9166000e-01
1.1839981e+00,-8.0153996e-01,-7.0515996e-01
1.1880035e+00,-7.3809999e-01,-6.1975998e-01
1.1920013e+00,-6.6245997e-01,-6.8685997e-01
1.1959991e+00,-5.2704000e-01,-7.3809999e-01
1.1999969e+00,-1.4396000e-01,-7.0271999e-01
1.2040024e+00, 1.6470000e-01,-4.2943999e-01
1.2080002e+00, 5.7584000e-01,-1.0247999e-01
1.2119980e+00, 7.1980000e-01, 1.9764000e-01
1.2160034e+00, 7.6371998e-01, 5.8803999e-01
1.2200012e+00, 8.6864001e-01, 8.6741996e-01
1.2239990e+00, 6.8930000e-01, 6.7831999e-01
1.2279968e+00, 3.0256000e-01, 6.5391999e-01
1.2320023e+00, 2.7693999e-01, 6.6855997e-01
1.2360001e+00, 1.9397999e-01, 5.3192002e-01
1.2399979e+00,-1.9520000e-02, 4.5139998e-01
1.2440033e+00, 3.6599999e-03, 2.1106000e-01
1.2480011e+00,-1.2932000e-01,-5.9779998e-02
1.2519989e+00,-3.1231999e-01,-3.6600001e-02
1.2559967e+00,-5.1972002e-01,-1.4396000e-01
1.2600021e+00,-7.2468001e-01,-3.5135999e-01
1.2639999e+00,-7.2711998e-01,-5.7584000e-01
1.2679977e+00,-7.2955996e-01,-6.2342000e-01
1.2720032e+00,-7.0638001e-01,-6.3195997e-01
1.2760010e+00,-5.9292001e-01,-6.0267997e-01
1.2799988e+00,-5.7584000e-01,-7.2589999e-01
1.2839966e+00,-1.5981999e-01,-8.1373996e-01
1.2880020e+00, 3.2817999e-01,-5.2094001e-01
1.2919998e+00, 6.0877997e-01,-7.9300001e-02
1.2959976e+00, 6.0023999e-01, 2.3789999e-01
1.3000031e+00, 7.8201997e-01, 5.3924000e-01
1.3040009e+00, 7.4419999e-01, 6.6855997e-01
1.3079987e+00, 7.1980000e-01, 7.9299998e-01
1.3119965e+00, 3.4037998e-01, 8.0763996e-01
1.3160019e+00, 4.1723999e-01, 6.7710000e-01
1.3199997e+00, 2.6839998e-01, 5.4777998e-01
1.3239975e+00, 8.9060001e-02, 3.7941998e-01
1.3280029e+00, 6.2220000e-02, 3.4037998e-01
1.3320007e+00,-1.3664000e-01, 2.5009999e-01
1.3359985e+00,-3.3794001e-01,-2.5619999e-02
1.3399963e+00,-5.0629997e-01,-2.0130000e-01
1.3440018e+00,-6.2220001e-01,-2.9890001e-01
1.3479996e+00,-6.5513998e-01,-5.9170002e-01
1.3519974e+00,-8.2471997e-01,-6.6001999e-01
1.3560028e+00,-6.8563998e-01,-6.1487997e-01
1.3600006e+00,-5.0874001e-01,-6.2952000e-01
1.3639984e+00,-5.5632001e-01,-7.1370000e-01
1.3679962e+00,-1.7445999e-01,-7.9787999e-01
1.3720016e+00, 2.3424000e-01,-3.8064000e-01
1.3759995e+00, 5.4899997e-01,-1.0370000e-01
1.3799973e+00, 6.4660001e-01, 1.5371999e-01
1.3840027e+00, 7.3443997e-01, 5.4534000e-01
1.3880005e+00, 7.0881999e-01, 7.6249999e-01
1.3919983e+00, 7.2468001e-01, 8.1373996e-01
1.3960037e+00, 5.9535998e-01, 7.4053997e-01
1.4000015e+00, 3.5380000e-01, 6.1487997e-01
1.4039993e+00, 1.8665999e-01, 4.4408000e-01
1.4079971e+00, 2.8547999e-01, 3.3671999e-01
1.4120026e+00, 9.6379995e-02, 4.1479999e-01
1.4160004e+00,-4.7580000e-02, 2.6962000e-01
1.4199982e+00,-2.7327999e-01, 1.0492000e-01
1.4240036e+00,-3.5501999e-01,-1.4274000e-01
1.4280014e+00,-5.4655999e-01,-2.7693999e-01
1.4319992e+00,-5.9535998e-01,-3.8429999e-01
1.4359970e+00,-6.6367996e-01,-5.4412001e-01
1.4400024e+00,-7.0760000e-01,-7.4541998e-01
1.4440002e+00,-6.5391999e-01,-5.8194000e-01
1.4479980e+00,-6.3683999e-01,-6.8930000e-01
1.4520035e+00,-4.3919998e-01,-6.7221999e-01
1.4560013e+00, 4.2700000e-02,-5.2947998e-01
1.4599991e+00, 4.6237999e-01,-3.4404001e-01
1.4639969e+00, 6.8930000e-01, 1.4029999e-01
1.4680023e+00, 7.0271999e-01, 4.4163999e-01
1.4720001e+00, 7.8689998e-01, 6.4172000e-01
