time,probe_a,probe_b
7.8800000e-01, 2.5590324e-01, 2.9094505e-01
7.9000000e-01, 2.3219204e-01, 2.8419304e-01
7.9200000e-01, 2.1186733e-01, 2.7744198e-01
7.9400000e-01, 2.0324516e-01, 2.8603458e-01
7.9600000e-01, 1.7860889e-01, 2.7161026e-01
7.9800000e-01, 1.7552948e-01, 2.7007580e-01
8.0000000e-01, 1.5458965e-01, 2.4920654e-01
8.0200000e-01, 1.5335751e-01, 2.3693085e-01
8.0400000e-01, 1.3980770e-01, 2.1790218e-01
8.0600000e-01, 1.3457298e-01, 2.0132923e-01
8.0800000e-01, 1.2964535e-01, 1.8690491e-01
8.1000000e-01, 1.3210869e-01, 1.7524338e-01
8.1200000e-01, 1.2533379e-01, 1.6388702e-01
8.1400000e-01, 1.2564182e-01, 1.5560055e-01
8.1600000e-01, 1.3826847e-01, 1.6634178e-01
8.1800000e-01, 1.2471771e-01, 1.4884853e-01
8.2000000e-01, 1.2410164e-01, 1.4669991e-01
8.2200000e-01, 1.2071419e-01, 1.4393806e-01
8.2400000e-01, 1.1609554e-01, 1.3810730e-01
8.2600000e-01, 1.1917496e-01, 1.3687992e-01
8.2800000e-01, 1.1486340e-01, 1.3687992e-01
8.3000000e-01, 1.1085987e-01, 1.3196945e-01
8.3200000e-01, 1.1116791e-01, 1.3258266e-01
8.3400000e-01, 1.0808849e-01, 1.2705898e-01
8.3600000e-01, 1.1147594e-01, 1.2920666e-01
8.3800000e-01, 1.1209202e-01, 1.2828636e-01
8.4000000e-01, 1.0778046e-01, 1.2306881e-01
8.4200000e-01, 1.0778046e-01, 1.2460327e-01
8.4400000e-01, 1.1209202e-01, 1.2368298e-01
8.4600000e-01, 1.2287045e-01, 1.4117622e-01
8.4800000e-01, 1.1178398e-01, 1.2583065e-01
8.5000000e-01, 1.1609554e-01, 1.3166237e-01
8.5200000e-01, 1.2071419e-01, 1.3350391e-01
8.5400000e-01, 1.2133026e-01, 1.3657284e-01
8.5600000e-01, 1.2502575e-01, 1.3810730e-01
8.5800000e-01, 1.2748909e-01, 1.4271069e-01
8.6000000e-01, 1.2718105e-01, 1.4393806e-01
8.6200000e-01, 1.2964535e-01, 1.4577961e-01
8.6400000e-01, 1.3056850e-01, 1.4946270e-01
8.6600000e-01, 1.2625790e-01, 1.4240360e-01
8.6800000e-01, 1.3087654e-01, 1.4976883e-01
8.7000000e-01, 1.2564182e-01, 1.4700699e-01
8.7200000e-01, 1.2748909e-01, 1.4823437e-01
8.7400000e-01, 1.3180065e-01, 1.5621376e-01
8.7600000e-01, 1.2625790e-01, 1.4700699e-01
8.7800000e-01, 1.3364792e-01, 1.5375900e-01
8.8000000e-01, 1.2872124e-01, 1.4762115e-01
8.8200000e-01, 1.3703632e-01, 1.5253162e-01
8.8400000e-01, 1.3518906e-01, 1.5038300e-01
8.8600000e-01, 1.4504337e-01, 1.5161037e-01
8.8800000e-01, 1.5274143e-01, 1.5130329e-01
